file,page,grade,dba,kind,description,x,y,w,h
figs/intro_p05_1.png,5,intro,,figure,"Fase 1 del proceso: presentación de la primera versión de los DBA (2015) y revisión con la comunidad educativa (foros regionales y virtuales, documentos académicos, sistematización de la discusión pública).",193,529,86,164
figs/intro_p05_2.png,5,intro,,figure,"Fase 3 del proceso: presentación de la segunda versión de los DBA (2016) tras la discusión pública (foros regionales y virtuales, documentos académicos, sistematización).",414,539,69,140
figs/g01_p09_2.png,9,1,3,table,"Tabla del juego de billetes: cantidad pensada por cada jugador, billetes que usó el primer, segundo y tercer jugador, y jugador ganador.",335,289,252,175
figs/g01_p10_1.png,10,1,5,figure,"Tiras de colores de distintas longitudes (morada, roja, verde, azul, naranja, amarilla) para comparar y medir longitudes.",340,443,240,82
figs/g01_p10_2.png,10,1,5,figure,Preguntas con tiras: cuántas tiras amarillas caben en la tira morada; comparación de cantidades de tiras.,364,561,199,65
figs/g01_p11_1.png,11,1,6,figure,Personaje (mariposa) construido con cuerpos geométricos (cilindro).,66,635,130,106
figs/g01_p11_2.png,11,1,6,figure,Personaje (pingüino) construido con cuerpos geométricos (esfera/cono).,217,635,91,106
figs/g01_p11_3.png,11,1,6,figure,Personaje (gato) construido con cuerpos geométricos (cilindros).,340,174,113,142
figs/g01_p11_4.png,11,1,6,figure,Personaje «Señora Bigotes» construido con un cono.,474,179,103,160
figs/g01_p11_5.png,11,1,6,figure,Personaje construido con un cubo.,395,361,122,125
figs/g01_p12_1.png,12,1,7,figure,"Plano del salón de clase visto desde arriba: pupitres en filas, tablero, puerta y otros objetos, para describir ubicaciones.",61,313,259,254
figs/g01_p13_1.png,13,1,9,figure,"Niño frente a un tablero con operaciones incompletas: □ + 2 = □, 5 + □, 9 − 2 = □.",92,460,209,175
figs/g01_p13_2.png,13,1,10,figure,"Pictograma «Preferencia de helados de los estudiantes de 1A»: número de paletas por sabor (fresa, uva, vainilla, chocolate, maracuyá).",349,524,230,231
figs/g02_p16_1.png,16,2,2,table,"Tabla de puntos por jugador (Andrés, Camilo, Juan José, Carlos) en el lanzamiento 1 y el lanzamiento 2.",83,164,218,173
figs/g02_p16_2.png,16,2,3,figure,"Niña frente a un tablero con cadenas de operaciones: 6 + 3 − 6 = □, 10 + 2 = □, 9 − 3 + 5 = □.",378,337,168,134
figs/g02_p17_1.png,17,2,4,figure,Escena de un parque con estructuras y una figura sobre cuadrícula para describir posiciones y trayectos.,59,520,521,221
figs/g02_p18_1.png,18,2,5,figure,Pares de relojes análogos (situaciones 3 y 4) para leer y comparar horas.,64,234,259,95
figs/g02_p18_2.png,18,2,5,figure,Otros pares de relojes análogos para leer y comparar horas.,61,337,259,72
figs/g02_p18_3.png,18,2,6,figure,"Habitación de un niño con objetos (balón, cama, repisa, ventana) para describir ubicaciones relativas.",342,164,238,166
figs/g02_p19_1.png,19,2,7,figure,Mapa de un barrio con calles y marcadores de lugares para describir recorridos.,61,568,262,173
figs/g02_p19_2.png,19,2,8,figure,Máquina de transformación: número de entrada → +5 → □ → +5 → □ → −2 → número de salida.,335,388,256,46
figs/g02_p19_3.png,19,2,8,figure,"Segunda máquina de transformación: número de entrada → □ → número de salida, con operaciones por descubrir.",335,497,256,44
figs/g02_p20_1.png,20,2,9,figure,"Niña pensando: a + b = 12, a × b = ?",64,596,250,144
figs/g02_p20_2.png,20,2,10,figure,"Pictograma de votos para personero (cada estrella = 5 votos): candidato 1: 4 estrellas, candidato 2: 7, candidato 3: 9, candidato 4: 3.",421,517,158,106
figs/g03_p22_1.png,22,3,1,figure,Marcador de baloncesto: Local 45 – Visitante 62.,107,548,180,175
