clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-03,jueves,06:55,55,I,01,Inicio de año,Actividades de inicio y prueba diagnóstica,,,,,clases/semana-01
002,2026-09-04,viernes,13:40,50,I,01,Inicio de año,Actividades de inicio y prueba diagnóstica,,,,,clases/semana-01
003,2026-09-07,lunes,07:50,100,I,02,Refuerzo de factorización,Casos 1 a 6 (factor común a agrupación),,,,,clases/semana-02
004,2026-09-10,jueves,06:55,55,I,02,Refuerzo de factorización,Casos 1 a 6 (factor común a agrupación),,,,,clases/semana-02
005,2026-09-11,viernes,13:40,50,I,02,Refuerzo de factorización,Casos 1 a 6 (factor común a agrupación),,,,,clases/semana-02
006,2026-09-14,lunes,07:50,100,I,03,Los irracionales y la recta real,√2 no es racional: la crisis de Hipaso,1,,x,,clases/semana-03
007,2026-09-17,jueves,06:55,55,I,03,Los irracionales y la recta real,"Irracionales notables: π, e, √n",1,,,,clases/semana-03
008,2026-09-18,viernes,13:40,50,I,03,Los irracionales y la recta real,La recta real (Dedekind),1,,,x,clases/semana-03
009,2026-09-21,lunes,07:50,100,I,04,Los irracionales y la recta real,Densidad de los números reales,1,,x,,clases/semana-04
010,2026-09-24,jueves,06:55,55,I,04,Los irracionales y la recta real,Decimales periódicos y no periódicos,1,x,,,clases/semana-04
011,2026-09-25,viernes,13:40,50,I,04,Intervalos e infinitos,"Intervalos abiertos, cerrados y semiabiertos",1,,,x,clases/semana-04
012,2026-09-28,lunes,07:50,100,I,05,Intervalos e infinitos,Notación de conjuntos y de intervalos,1,,x,,clases/semana-05
013,2026-10-01,jueves,06:55,55,I,05,Intervalos e infinitos,Unión e intersección de intervalos,1,,,,clases/semana-05
014,2026-10-02,viernes,13:40,50,I,05,Intervalos e infinitos,Infinitos de distinto tamaño (Cantor),1,,,x,clases/semana-05
015,2026-10-05,lunes,07:50,100,I,06,Orden y desigualdades,"Tricotomía, transitividad y orden con operaciones",2,,x,,clases/semana-06
016,2026-10-08,jueves,06:55,55,I,06,Orden y desigualdades,Propiedades de las desigualdades,2,,,,clases/semana-06
017,2026-10-09,viernes,13:40,50,I,06,Orden y desigualdades,Multiplicar una desigualdad por un número negativo,2,,,x,clases/semana-06
018,2026-10-19,lunes,07:50,100,I,07,Orden y desigualdades,Desigualdades en contexto,2,,x,,clases/semana-07
019,2026-10-22,jueves,06:55,55,I,07,Inecuaciones lineales,Resolución de inecuaciones lineales,2,x,,,clases/semana-07
020,2026-10-23,viernes,13:40,50,I,07,Inecuaciones lineales,Inecuaciones simultáneas,2,,,x,clases/semana-07
021,2026-10-26,lunes,07:50,100,I,08,Inecuaciones lineales,Problemas con inecuaciones lineales,2,,x,,clases/semana-08
022,2026-10-29,jueves,06:55,55,I,08,Inecuaciones cuadráticas y racionales,Tabla de signos (Hipatia y los problemas de Diofanto),2,,,,clases/semana-08
023,2026-10-30,viernes,13:40,50,I,08,Inecuaciones cuadráticas y racionales,Inecuaciones cuadráticas por factorización,2,,,x,clases/semana-08
024,2026-11-05,jueves,06:55,55,I,09,Inecuaciones cuadráticas y racionales,Inecuaciones cuadráticas en contexto,2,,x,,clases/semana-09
025,2026-11-06,viernes,13:40,50,I,09,Inecuaciones cuadráticas y racionales,Inecuaciones racionales: puntos críticos y restricciones del dominio,2,,,x,clases/semana-09
026,2026-11-09,lunes,07:50,100,I,10,Inecuaciones cuadráticas y racionales,Problemas con inecuaciones racionales,2,,x,,clases/semana-10
027,2026-11-12,jueves,06:55,55,I,10,Valor absoluto,Valor absoluto como distancia (Sophie Germain),1;2,x,,,clases/semana-10
028,2026-11-13,viernes,13:40,50,I,10,Valor absoluto,Ecuaciones con valor absoluto y sus casos,1;2,,,x,clases/semana-10
029,2026-11-19,jueves,06:55,55,I,11,Valor absoluto,Inecuaciones con valor absoluto,2,,x,,clases/semana-11
030,2026-11-20,viernes,13:40,50,I,11,Valor absoluto,Inecuaciones con valor absoluto en contexto; cierre del hilo: el infinito en la recta real,2,x,,x,clases/semana-11
031,2026-11-23,lunes,07:50,100,I,12,Repaso y evaluación del periodo,Repaso general,1;2,,,,clases/semana-12
032,2026-11-26,jueves,06:55,55,I,12,Repaso y evaluación del periodo,Evaluación del periodo,1;2,,,,clases/semana-12
033,2026-11-27,viernes,13:40,50,I,12,Repaso y evaluación del periodo,Retroalimentación de la evaluación,1;2,,,,clases/semana-12
034,2026-12-03,jueves,06:55,55,II,13,,,,,,,clases/semana-13
035,2026-12-04,viernes,13:40,50,II,13,,,,,,,clases/semana-13
036,2026-12-07,lunes,07:50,100,II,14,,,,,,,clases/semana-14
037,2026-12-10,jueves,06:55,55,II,14,,,,,,,clases/semana-14
038,2026-12-11,viernes,13:40,50,II,14,,,,,,,clases/semana-14
039,2026-12-14,lunes,07:50,100,II,15,,,,,,,clases/semana-15
040,2026-12-17,jueves,06:55,55,II,15,,,,,,,clases/semana-15
041,2026-12-18,viernes,13:40,50,II,15,,,,,,,clases/semana-15
042,2026-12-21,lunes,07:50,100,II,16,,,,,,,clases/semana-16
043,2027-01-14,jueves,06:55,55,II,17,,,,,,,clases/semana-17
044,2027-01-15,viernes,13:40,50,II,17,,,,,,,clases/semana-17
045,2027-01-18,lunes,07:50,100,II,18,,,,,,,clases/semana-18
046,2027-01-21,jueves,06:55,55,II,18,,,,,,,clases/semana-18
047,2027-01-22,viernes,13:40,50,II,18,,,,,,,clases/semana-18
048,2027-01-25,lunes,07:50,100,II,19,,,,,,,clases/semana-19
049,2027-01-28,jueves,06:55,55,II,19,,,,,,,clases/semana-19
050,2027-01-29,viernes,13:40,50,II,19,,,,,,,clases/semana-19
