clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-07,lunes,10:10,50,I,02,Inicio de año,Investigación asignada: cada estudiante escoge un científico de todos los tiempos; exposiciones por grupos en las semanas siguientes (dictada),,,,,clases/semana-02
002,2026-09-14,lunes,10:10,50,I,03,Científicos que cambiaron la física,Exposiciones de científicos (4 de 7); de Aristóteles a Galileo,1,,,x,clases/semana-03
003,2026-09-21,lunes,10:10,50,I,04,Científicos que cambiaron la física,Exposiciones de científicos (3 de 7); cierre: describir no es explicar,1,,,,clases/semana-04
004,2026-09-28,lunes,10:10,50,I,05,Describir el movimiento,"Marco de referencia, posición y trayectoria",1,,,x,clases/semana-05
005,2026-10-05,lunes,10:10,50,I,06,Describir el movimiento,Distancia y desplazamiento; rapidez y velocidad media,1,,x,,clases/semana-06
006,2026-10-19,lunes,10:10,50,I,07,Movimiento rectilíneo uniforme,x = x₀ + v t; gráficas x–t y v–t,1,x,,x,clases/semana-07
007,2026-10-26,lunes,10:10,50,I,08,Movimiento rectilíneo uniforme,Problemas de encuentro,1,,x,,clases/semana-08
008,2026-11-09,lunes,10:10,50,I,10,Marcos de referencia,La pelota en el bus; repaso del trimestre,1,,,,clases/semana-10
009,2026-11-23,lunes,10:10,50,I,12,Evaluación del periodo,Evaluación del trimestre I,1,,,,clases/semana-12
010,2026-12-07,lunes,10:10,50,II,14,,,,,,,clases/semana-14
011,2026-12-14,lunes,10:10,50,II,15,,,,,,,clases/semana-15
012,2026-12-21,lunes,10:10,50,II,16,,,,,,,clases/semana-16
013,2027-01-18,lunes,10:10,50,II,18,,,,,,,clases/semana-18
014,2027-01-25,lunes,10:10,50,II,19,,,,,,,clases/semana-19
015,2027-02-01,lunes,10:10,50,II,20,,,,,,,clases/semana-20
016,2027-02-08,lunes,10:10,50,II,21,,,,,,,clases/semana-21
017,2027-02-15,lunes,10:10,50,II,22,,,,,,,clases/semana-22
018,2027-02-22,lunes,10:10,50,II,23,,,,,,,clases/semana-23
019,2027-03-01,lunes,10:10,50,II,24,,,,,,,clases/semana-24
020,2027-03-08,lunes,10:10,50,II,25,,,,,,,clases/semana-25
021,2027-03-15,lunes,10:10,50,II,26,,,,,,,clases/semana-26
022,2027-03-29,lunes,10:10,50,III,27,,,,,,,clases/semana-27
023,2027-04-05,lunes,10:10,50,III,28,,,,,,,clases/semana-28
024,2027-04-12,lunes,10:10,50,III,29,,,,,,,clases/semana-29
025,2027-04-19,lunes,10:10,50,III,30,,,,,,,clases/semana-30
026,2027-04-26,lunes,10:10,50,III,31,,,,,,,clases/semana-31
027,2027-05-03,lunes,10:10,50,III,32,,,,,,,clases/semana-32
028,2027-05-17,lunes,10:10,50,III,34,,,,,,,clases/semana-34
029,2027-05-24,lunes,10:10,50,III,35,,,,,,,clases/semana-35
