clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-02,miércoles,08:40,50,I,01,Inicio de año,"Actividades de inicio, rompehielos y dinámicas de grupo (dictada)",,,,,clases/semana-01
002,2026-09-09,miércoles,08:40,50,I,02,Líneas,Línea recta y rectas paralelas (dictada),,,,,clases/semana-02
003,2026-09-16,miércoles,08:40,50,I,03,Líneas,"Recta, segmento y semirrecta; notación",,,,x,clases/semana-03
004,2026-09-23,miércoles,08:40,50,I,04,Líneas,"Rectas paralelas, secantes y perpendiculares",,,x,,clases/semana-04
005,2026-09-30,miércoles,08:40,50,I,05,Líneas,Trazar paralelas y perpendiculares con regla y escuadra,,,,x,clases/semana-05
006,2026-10-07,miércoles,08:40,50,I,06,Líneas,Las vías del tren: paralelas y perpendiculares en el entorno,,x,,,clases/semana-06
007,2026-10-21,miércoles,08:40,50,I,07,Polígonos,"Lados, vértices y ángulos de un polígono",6,,,x,clases/semana-07
008,2026-10-28,miércoles,08:40,50,I,08,Polígonos,Polígonos regulares e irregulares; nombres por número de lados,6,,x,,clases/semana-08
009,2026-11-04,miércoles,08:40,50,I,09,Cuadriláteros,Clasificación de los cuadriláteros,6,,,x,clases/semana-09
010,2026-11-11,miércoles,08:40,50,I,10,Cuadriláteros,El cuadrado como rectángulo especial; construcción en cuadrícula,6,,x,,clases/semana-10
011,2026-11-18,miércoles,08:40,50,I,11,Figuras con polígonos,Tangram: armar y desarmar figuras,6,x,,,clases/semana-11
012,2026-11-25,miércoles,08:40,50,I,12,Evaluación del periodo,Evaluación del trimestre I,6,,,,clases/semana-12
013,2026-12-02,miércoles,08:40,50,II,13,,,,,,,clases/semana-13
014,2026-12-09,miércoles,08:40,50,II,14,,,,,,,clases/semana-14
015,2026-12-16,miércoles,08:40,50,II,15,,,,,,,clases/semana-15
016,2027-01-13,miércoles,08:40,50,II,17,,,,,,,clases/semana-17
017,2027-01-20,miércoles,08:40,50,II,18,,,,,,,clases/semana-18
018,2027-01-27,miércoles,08:40,50,II,19,,,,,,,clases/semana-19
019,2027-02-03,miércoles,08:40,50,II,20,,,,,,,clases/semana-20
020,2027-02-10,miércoles,08:40,50,II,21,,,,,,,clases/semana-21
021,2027-02-17,miércoles,08:40,50,II,22,,,,,,,clases/semana-22
022,2027-02-24,miércoles,08:40,50,II,23,,,,,,,clases/semana-23
023,2027-03-03,miércoles,08:40,50,II,24,,,,,,,clases/semana-24
024,2027-03-10,miércoles,08:40,50,II,25,,,,,,,clases/semana-25
025,2027-03-17,miércoles,08:40,50,II,26,,,,,,,clases/semana-26
026,2027-03-31,miércoles,08:40,50,III,27,,,,,,,clases/semana-27
027,2027-04-07,miércoles,08:40,50,III,28,,,,,,,clases/semana-28
028,2027-04-14,miércoles,08:40,50,III,29,,,,,,,clases/semana-29
029,2027-04-21,miércoles,08:40,50,III,30,,,,,,,clases/semana-30
030,2027-04-28,miércoles,08:40,50,III,31,,,,,,,clases/semana-31
031,2027-05-05,miércoles,08:40,50,III,32,,,,,,,clases/semana-32
032,2027-05-12,miércoles,08:40,50,III,33,,,,,,,clases/semana-33
033,2027-05-19,miércoles,08:40,50,III,34,,,,,,,clases/semana-34
034,2027-05-26,miércoles,08:40,50,III,35,,,,,,,clases/semana-35
035,2027-06-02,miércoles,08:40,50,III,36,,,,,,,clases/semana-36
036,2027-06-09,miércoles,08:40,50,III,37,,,,,,,clases/semana-37
