clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-03,jueves,13:00,40,I,01,Actividades de inicio de año,Actividades rompehielo y dinámicas de grupo,,,,,clases/semana-01
002,2026-09-10,jueves,13:00,40,I,02,,,,,,,clases/semana-02
003,2026-09-17,jueves,13:00,40,I,03,,,,,,,clases/semana-03
004,2026-09-24,jueves,13:00,40,I,04,,,,,,,clases/semana-04
005,2026-10-01,jueves,13:00,40,I,05,,,,,,,clases/semana-05
006,2026-10-08,jueves,13:00,40,I,06,,,,,,,clases/semana-06
007,2026-10-22,jueves,13:00,40,I,07,,,,,,,clases/semana-07
008,2026-10-29,jueves,13:00,40,I,08,,,,,,,clases/semana-08
009,2026-11-05,jueves,13:00,40,I,09,,,,,,,clases/semana-09
010,2026-11-12,jueves,13:00,40,I,10,,,,,,,clases/semana-10
011,2026-11-19,jueves,13:00,40,I,11,,,,,,,clases/semana-11
012,2026-11-26,jueves,13:00,40,I,12,,,,,,,clases/semana-12
013,2026-12-03,jueves,13:00,40,II,13,,,,,,,clases/semana-13
014,2026-12-10,jueves,13:00,40,II,14,,,,,,,clases/semana-14
015,2026-12-17,jueves,13:00,40,II,15,,,,,,,clases/semana-15
016,2027-01-14,jueves,13:00,40,II,17,,,,,,,clases/semana-17
017,2027-01-21,jueves,13:00,40,II,18,,,,,,,clases/semana-18
018,2027-01-28,jueves,13:00,40,II,19,,,,,,,clases/semana-19
019,2027-02-04,jueves,13:00,40,II,20,,,,,,,clases/semana-20
020,2027-02-11,jueves,13:00,40,II,21,,,,,,,clases/semana-21
021,2027-02-18,jueves,13:00,40,II,22,,,,,,,clases/semana-22
022,2027-02-25,jueves,13:00,40,II,23,,,,,,,clases/semana-23
023,2027-03-04,jueves,13:00,40,II,24,,,,,,,clases/semana-24
024,2027-03-11,jueves,13:00,40,II,25,,,,,,,clases/semana-25
025,2027-03-18,jueves,13:00,40,II,26,,,,,,,clases/semana-26
026,2027-04-01,jueves,13:00,40,III,27,,,,,,,clases/semana-27
027,2027-04-08,jueves,13:00,40,III,28,,,,,,,clases/semana-28
028,2027-04-15,jueves,13:00,40,III,29,,,,,,,clases/semana-29
029,2027-04-22,jueves,13:00,40,III,30,,,,,,,clases/semana-30
030,2027-04-29,jueves,13:00,40,III,31,,,,,,,clases/semana-31
031,2027-05-06,jueves,13:00,40,III,32,,,,,,,clases/semana-32
032,2027-05-13,jueves,13:00,40,III,33,,,,,,,clases/semana-33
033,2027-05-20,jueves,13:00,40,III,34,,,,,,,clases/semana-34
034,2027-05-27,jueves,13:00,40,III,35,,,,,,,clases/semana-35
035,2027-06-03,jueves,13:00,40,III,36,,,,,,,clases/semana-36
036,2027-06-10,jueves,13:00,40,III,37,,,,,,,clases/semana-37
