clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-01,martes,11:00,50,I,01,Triángulos,Tipos de triángulos: clasificación general,,,,,clases/semana-01
002,2026-09-08,martes,11:00,50,I,02,Triángulos,Clasificación por lados y ángulos; medición de ángulos,,,,,clases/semana-02
003,2026-09-15,martes,11:00,50,I,03,Ángulos de un triángulo,Suma de ángulos internos y externos de un triángulo,,,,x,clases/semana-03
004,2026-09-22,martes,11:00,50,I,04,Congruencia de triángulos,"Criterios de congruencia: LLL, LAL, ALA",6,,x,,clases/semana-04
005,2026-09-29,martes,11:00,50,I,05,Congruencia de triángulos,Aplicar congruencia en construcciones geométricas,6,,,x,clases/semana-05
006,2026-10-06,martes,11:00,50,I,06,Semejanza de triángulos,"Razón de semejanza y criterios AA, LLL, LAL",6,,x,,clases/semana-06
007,2026-10-20,martes,11:00,50,I,07,Semejanza de triángulos,Tales de Mileto: cómo midió la gran pirámide con su sombra,6,,,x,clases/semana-07
008,2026-10-27,martes,11:00,50,I,08,Semejanza de triángulos,Aplicaciones de semejanza: planos a escala y mapas,6,x,,,clases/semana-08
009,2026-11-03,martes,11:00,50,I,09,Teorema de Pitágoras,"Demostración con material concreto (tangram, cuadrados)",7,,x,,clases/semana-09
010,2026-11-10,martes,11:00,50,I,10,Teorema de Pitágoras,Aplicaciones del teorema de Pitágoras,7,,,x,clases/semana-10
011,2026-11-17,martes,11:00,50,I,11,Teorema de Thales,Enunciado y proporcionalidad en triángulos,7,,x,,clases/semana-11
012,2026-11-24,martes,11:00,50,I,12,Evaluación del periodo,Evaluación del periodo,6;7,,,,clases/semana-12
013,2026-12-01,martes,11:00,50,II,13,,,,,,,clases/semana-13
014,2026-12-15,martes,11:00,50,II,15,,,,,,,clases/semana-15
015,2027-01-12,martes,11:00,50,II,17,,,,,,,clases/semana-17
016,2027-01-19,martes,11:00,50,II,18,,,,,,,clases/semana-18
017,2027-01-26,martes,11:00,50,II,19,,,,,,,clases/semana-19
018,2027-02-02,martes,11:00,50,II,20,,,,,,,clases/semana-20
019,2027-02-09,martes,11:00,50,II,21,,,,,,,clases/semana-21
020,2027-02-16,martes,11:00,50,II,22,,,,,,,clases/semana-22
021,2027-02-23,martes,11:00,50,II,23,,,,,,,clases/semana-23
022,2027-03-02,martes,11:00,50,II,24,,,,,,,clases/semana-24
023,2027-03-09,martes,11:00,50,II,25,,,,,,,clases/semana-25
024,2027-03-16,martes,11:00,50,II,26,,,,,,,clases/semana-26
025,2027-03-30,martes,11:00,50,III,27,,,,,,,clases/semana-27
026,2027-04-06,martes,11:00,50,III,28,,,,,,,clases/semana-28
027,2027-04-13,martes,11:00,50,III,29,,,,,,,clases/semana-29
028,2027-04-20,martes,11:00,50,III,30,,,,,,,clases/semana-30
029,2027-04-27,martes,11:00,50,III,31,,,,,,,clases/semana-31
030,2027-05-04,martes,11:00,50,III,32,,,,,,,clases/semana-32
031,2027-05-11,martes,11:00,50,III,33,,,,,,,clases/semana-33
032,2027-05-18,martes,11:00,50,III,34,,,,,,,clases/semana-34
033,2027-05-25,martes,11:00,50,III,35,,,,,,,clases/semana-35
034,2027-06-01,martes,11:00,50,III,36,,,,,,,clases/semana-36
035,2027-06-08,martes,11:00,50,III,37,,,,,,,clases/semana-37
