clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-01,martes,06:55,55,I,01,Inicio del año,"Actividades de inicio de año, rompehielos y dinámicas de grupo (según la bitácora)",,,,,clases/semana-01
002,2026-09-08,martes,06:55,55,I,02,Ángulos,"Clasificación según su medida: agudo, recto, obtuso, llano y completo (según la bitácora)",,,,,clases/semana-02
003,2026-09-15,martes,06:55,55,I,03,Ángulos y giros,El ángulo como giro: sentido y amplitud,5,,,x,clases/semana-03
004,2026-09-22,martes,06:55,55,I,04,Traslaciones,Vector de traslación en la cuadrícula,5,,x,,clases/semana-04
005,2026-09-29,martes,06:55,55,I,05,Rotaciones,"Centro, ángulo y sentido de giro",5,,,x,clases/semana-05
006,2026-10-06,martes,06:55,55,I,06,Reflexiones,Eje de simetría y figuras simétricas,5,,x,,clases/semana-06
007,2026-10-20,martes,06:55,55,I,07,Transformaciones,Composición de transformaciones y congruencia,5,x,,x,clases/semana-07
008,2026-10-27,martes,06:55,55,I,08,Vistas de un objeto,"Vista frontal, superior y lateral",5,,x,,clases/semana-08
009,2026-11-03,martes,06:55,55,I,09,Vistas de un objeto,De las vistas al cuerpo: contar cubos,5,,,x,clases/semana-09
010,2026-11-10,martes,06:55,55,I,10,Objetos transformados,Teselados y objetos girados en el espacio,5,,x,,clases/semana-10
011,2026-11-17,martes,06:55,55,I,11,Repaso del trimestre,Repaso de transformaciones y vistas,5,x,,,clases/semana-11
012,2026-11-24,martes,06:55,55,I,12,Evaluación del periodo,Evaluación del trimestre I,5,,,,clases/semana-12
013,2026-12-01,martes,06:55,55,II,13,,,,,,,clases/semana-13
014,2026-12-15,martes,06:55,55,II,15,,,,,,,clases/semana-15
015,2027-01-12,martes,06:55,55,II,17,,,,,,,clases/semana-17
016,2027-01-19,martes,06:55,55,II,18,,,,,,,clases/semana-18
017,2027-01-26,martes,06:55,55,II,19,,,,,,,clases/semana-19
018,2027-02-02,martes,06:55,55,II,20,,,,,,,clases/semana-20
019,2027-02-09,martes,06:55,55,II,21,,,,,,,clases/semana-21
020,2027-02-16,martes,06:55,55,II,22,,,,,,,clases/semana-22
021,2027-02-23,martes,06:55,55,II,23,,,,,,,clases/semana-23
022,2027-03-02,martes,06:55,55,II,24,,,,,,,clases/semana-24
023,2027-03-09,martes,06:55,55,II,25,,,,,,,clases/semana-25
024,2027-03-16,martes,06:55,55,II,26,,,,,,,clases/semana-26
025,2027-03-30,martes,06:55,55,III,27,,,,,,,clases/semana-27
026,2027-04-06,martes,06:55,55,III,28,,,,,,,clases/semana-28
027,2027-04-13,martes,06:55,55,III,29,,,,,,,clases/semana-29
028,2027-04-20,martes,06:55,55,III,30,,,,,,,clases/semana-30
029,2027-04-27,martes,06:55,55,III,31,,,,,,,clases/semana-31
030,2027-05-04,martes,06:55,55,III,32,,,,,,,clases/semana-32
031,2027-05-11,martes,06:55,55,III,33,,,,,,,clases/semana-33
032,2027-05-18,martes,06:55,55,III,34,,,,,,,clases/semana-34
033,2027-05-25,martes,06:55,55,III,35,,,,,,,clases/semana-35
034,2027-06-01,martes,06:55,55,III,36,,,,,,,clases/semana-36
035,2027-06-08,martes,06:55,55,III,37,,,,,,,clases/semana-37
