clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-04,viernes,11:00,50,I,01,Inicio de año,"Actividades de inicio, rompehielos y dinámicas de grupo (dictada)",,,,,clases/semana-01
002,2026-09-11,viernes,11:00,50,I,02,"Punto, línea y plano","Punto, línea, recta y plano; práctica con luz láser en las paredes: punto en el espacio y proyección de un plano (dictada)",,,,,clases/semana-02
003,2026-09-18,viernes,11:00,50,I,03,Líneas,"Repaso de punto y línea; líneas rectas y curvas; horizontal, vertical e inclinada",6,,,x,clases/semana-03
004,2026-09-25,viernes,11:00,50,I,04,Líneas,"Líneas abiertas y cerradas; dentro, fuera y borde",6,,x,,clases/semana-04
005,2026-10-02,viernes,11:00,50,I,05,Figuras planas,Lados y vértices de una figura,6,,,x,clases/semana-05
006,2026-10-09,viernes,11:00,50,I,06,Figuras planas,Clasificar figuras por el número de lados,6,,x,,clases/semana-06
007,2026-10-23,viernes,11:00,50,I,07,Figuras planas,Triángulos y cuadriláteros; el cuadrado girado sigue siendo cuadrado,6,x,,x,clases/semana-07
008,2026-10-30,viernes,11:00,50,I,08,Figuras planas,Construir y comparar figuras planas,6,,x,,clases/semana-08
009,2026-11-06,viernes,11:00,50,I,09,Cuerpos geométricos,"Caras, aristas y vértices",6,,,x,clases/semana-09
010,2026-11-13,viernes,11:00,50,I,10,Cuerpos geométricos,Cuerpos que ruedan y que no; caras que son figuras planas,6,,x,,clases/semana-10
011,2026-11-20,viernes,11:00,50,I,11,Formas a mi alrededor,Describir un cuerpo solo con palabras,6,x,,,clases/semana-11
012,2026-11-27,viernes,11:00,50,I,12,Evaluación del periodo,Evaluación del trimestre I,6,,,,clases/semana-12
013,2026-12-04,viernes,11:00,50,II,13,,,,,,,clases/semana-13
014,2026-12-11,viernes,11:00,50,II,14,,,,,,,clases/semana-14
015,2026-12-18,viernes,11:00,50,II,15,,,,,,,clases/semana-15
016,2027-01-15,viernes,11:00,50,II,17,,,,,,,clases/semana-17
017,2027-01-22,viernes,11:00,50,II,18,,,,,,,clases/semana-18
018,2027-01-29,viernes,11:00,50,II,19,,,,,,,clases/semana-19
019,2027-02-05,viernes,11:00,50,II,20,,,,,,,clases/semana-20
020,2027-02-12,viernes,11:00,50,II,21,,,,,,,clases/semana-21
021,2027-02-19,viernes,11:00,50,II,22,,,,,,,clases/semana-22
022,2027-02-26,viernes,11:00,50,II,23,,,,,,,clases/semana-23
023,2027-03-05,viernes,11:00,50,II,24,,,,,,,clases/semana-24
024,2027-03-12,viernes,11:00,50,II,25,,,,,,,clases/semana-25
025,2027-03-19,viernes,11:00,50,II,26,,,,,,,clases/semana-26
026,2027-04-02,viernes,11:00,50,III,27,,,,,,,clases/semana-27
027,2027-04-09,viernes,11:00,50,III,28,,,,,,,clases/semana-28
028,2027-04-16,viernes,11:00,50,III,29,,,,,,,clases/semana-29
029,2027-04-23,viernes,11:00,50,III,30,,,,,,,clases/semana-30
030,2027-04-30,viernes,11:00,50,III,31,,,,,,,clases/semana-31
031,2027-05-07,viernes,11:00,50,III,32,,,,,,,clases/semana-32
032,2027-05-14,viernes,11:00,50,III,33,,,,,,,clases/semana-33
033,2027-05-21,viernes,11:00,50,III,34,,,,,,,clases/semana-34
034,2027-05-28,viernes,11:00,50,III,35,,,,,,,clases/semana-35
035,2027-06-04,viernes,11:00,50,III,36,,,,,,,clases/semana-36
036,2027-06-11,viernes,11:00,50,III,37,,,,,,,clases/semana-37
