clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-01,martes,11:50,50,I,01,Inicio de año y diagnóstico,"Actividades de inicio de año, dinámicas de grupo y prueba diagnóstica",,,,,clases/semana-01
002,2026-09-03,jueves,11:50,50,I,01,Inicio de año y diagnóstico,"Actividades de inicio de año, dinámicas de grupo y prueba diagnóstica",,,,,clases/semana-01
003,2026-09-03,jueves,13:40,50,I,01,Inicio de año y diagnóstico,"Actividades de inicio de año, dinámicas de grupo y prueba diagnóstica",,,,,clases/semana-01
004,2026-09-04,viernes,10:10,50,I,01,Inicio de año y diagnóstico,"Actividades de inicio de año, dinámicas de grupo y prueba diagnóstica",,,,,clases/semana-01
005,2026-09-08,martes,11:50,50,I,02,Refuerzo según el diagnóstico,"Semejanza de triángulos y teorema de Pitágoras: conceptos, ejercicios y puesta en común",,,,,clases/semana-02
006,2026-09-10,jueves,11:50,50,I,02,Refuerzo según el diagnóstico,"Semejanza de triángulos y teorema de Pitágoras: conceptos, ejercicios y puesta en común",,,,,clases/semana-02
007,2026-09-10,jueves,13:40,50,I,02,Refuerzo según el diagnóstico,"Semejanza de triángulos y teorema de Pitágoras: conceptos, ejercicios y puesta en común",,,,,clases/semana-02
008,2026-09-11,viernes,10:10,50,I,02,Refuerzo según el diagnóstico,"Semejanza de triángulos y teorema de Pitágoras: conceptos, ejercicios y puesta en común",,,,,clases/semana-02
009,2026-09-15,martes,11:50,50,I,03,Razones trigonométricas,"Ángulos: sistema sexagesimal (grados, minutos, segundos) y clasificación",4,,,,clases/semana-03
010,2026-09-17,jueves,11:50,50,I,03,Razones trigonométricas,De la semejanza a la razón: en triángulos rectángulos semejantes la razón depende solo del ángulo,4,,,,clases/semana-03
011,2026-09-17,jueves,13:40,50,I,03,Razones trigonométricas,Taller: medir lados en triángulos semejantes y comparar sus razones,4,,x,,clases/semana-03
012,2026-09-18,viernes,10:10,50,I,03,Razones trigonométricas,"Definición de seno, coseno y tangente (cateto opuesto, adyacente, hipotenusa)",4,,,x,clases/semana-03
013,2026-09-22,martes,11:50,50,I,04,Razones trigonométricas,Cálculo de razones dados dos lados (con Pitágoras),4,,,,clases/semana-04
014,2026-09-24,jueves,11:50,50,I,04,Razones trigonométricas,"Dada una razón, hallar las otras con un triángulo auxiliar",4,,,,clases/semana-04
015,2026-09-24,jueves,13:40,50,I,04,Razones trigonométricas,Taller de cálculo de razones,4,,x,,clases/semana-04
016,2026-09-25,viernes,10:10,50,I,04,Razones trigonométricas,"La calculadora científica: modo grados, razones y ángulo a partir de la razón",4,,,x,clases/semana-04
017,2026-09-29,martes,11:50,50,I,05,Ángulos especiales,30° y 60° a partir del triángulo equilátero,4,,,,clases/semana-05
018,2026-10-01,jueves,11:50,50,I,05,Ángulos especiales,45° a partir del triángulo rectángulo isósceles; √2 y √3 como irracionales,1;4,,,,clases/semana-05
019,2026-10-01,jueves,13:40,50,I,05,Ángulos especiales,Taller: tabla de valores exactos y ejercicios,4,,x,,clases/semana-05
020,2026-10-02,viernes,10:10,50,I,05,Ángulos especiales,Quiz de razones y ángulos especiales; ejercicios,4,x,,x,clases/semana-05
021,2026-10-06,martes,11:50,50,I,06,Resolución de triángulos rectángulos,Resolver dados dos lados,4,,,,clases/semana-06
022,2026-10-08,jueves,11:50,50,I,06,Resolución de triángulos rectángulos,Resolver dados un lado y un ángulo agudo,4,,,,clases/semana-06
023,2026-10-08,jueves,13:40,50,I,06,Resolución de triángulos rectángulos,Taller de resolución de triángulos,4,,x,,clases/semana-06
024,2026-10-09,viernes,10:10,50,I,06,Resolución de triángulos rectángulos,Ángulos de elevación y de depresión,4,,,x,clases/semana-06
025,2026-10-20,martes,11:50,50,I,07,Aplicaciones del triángulo rectángulo,Repaso tras el receso; medición indirecta (el ancho de un río),4,,,,clases/semana-07
026,2026-10-22,jueves,11:50,50,I,07,Aplicaciones del triángulo rectángulo,Problemas con dos triángulos (altura de un campanario o edificio),4,,,,clases/semana-07
027,2026-10-22,jueves,13:40,50,I,07,Aplicaciones del triángulo rectángulo,Taller de medición en el patio con clinómetro casero,4,,x,,clases/semana-07
028,2026-10-23,viernes,10:10,50,I,07,Aplicaciones del triángulo rectángulo,Quiz de resolución de triángulos y aplicaciones,4,x,,x,clases/semana-07
029,2026-10-27,martes,11:50,50,I,08,Ángulos como rotación,"Lado inicial y terminal, sentido positivo y negativo, posición estándar y cuadrantes",4,,,,clases/semana-08
030,2026-10-29,jueves,11:50,50,I,08,Ángulos como rotación,Ángulos coterminales y ángulos mayores de 360°,4,,,,clases/semana-08
031,2026-10-29,jueves,13:40,50,I,08,Ángulos como rotación,Taller de ángulos en posición estándar,4,,x,,clases/semana-08
032,2026-10-30,viernes,10:10,50,I,08,Radianes,El radián: ángulo cuyo arco mide un radio,4,,,x,clases/semana-08
033,2026-11-03,martes,11:50,50,I,09,Radianes,Conversión entre grados y radianes,4,,,,clases/semana-09
034,2026-11-05,jueves,11:50,50,I,09,Radianes,Ángulos notables en radianes; π como número irracional en la recta,1;4,,,,clases/semana-09
035,2026-11-05,jueves,13:40,50,I,09,Radianes,Taller de conversión,4,,x,,clases/semana-09
036,2026-11-06,viernes,10:10,50,I,09,Radianes,Quiz de ángulos en posición estándar y radianes,4,x,,x,clases/semana-09
037,2026-11-10,martes,11:50,50,I,10,Arco y sector circular,Longitud de arco s = rθ,4,,,,clases/semana-10
038,2026-11-12,jueves,11:50,50,I,10,Arco y sector circular,Área del sector circular,4,,,,clases/semana-10
039,2026-11-12,jueves,13:40,50,I,10,Arco y sector circular,Taller: la medición de la Tierra de Eratóstenes y problemas de arco,4,,x,,clases/semana-10
040,2026-11-13,viernes,10:10,50,I,10,Arco y sector circular,"Problemas de arco y sector (ruedas, relojes, latitudes)",4,,,x,clases/semana-10
041,2026-11-17,martes,11:50,50,I,11,Círculo unitario,El círculo unitario y los ángulos en posición estándar,4,,,,clases/semana-11
042,2026-11-19,jueves,11:50,50,I,11,Círculo unitario,Seno y coseno como coordenadas del punto (ángulos agudos y cuadrantales),4,,,,clases/semana-11
043,2026-11-19,jueves,13:40,50,I,11,Círculo unitario,Taller del círculo unitario,4,,x,,clases/semana-11
044,2026-11-20,viernes,10:10,50,I,11,Círculo unitario,"Quiz de arco, sector y círculo unitario; guía de repaso",4,x,,x,clases/semana-11
045,2026-11-24,martes,11:50,50,I,12,Repaso y evaluación,Repaso general del trimestre (razones y triángulos),4,,,,clases/semana-12
046,2026-11-26,jueves,11:50,50,I,12,Repaso y evaluación,"Repaso general (ángulos, radianes, arco) y dudas",4,,,,clases/semana-12
047,2026-11-26,jueves,13:40,50,I,12,Repaso y evaluación,Evaluación del periodo,4,,,,clases/semana-12
048,2026-11-27,viernes,10:10,50,I,12,Repaso y evaluación,Socialización de la evaluación y cierre del trimestre,4,,,,clases/semana-12
049,2026-12-01,martes,11:50,50,II,13,,,,,,,clases/semana-13
050,2026-12-03,jueves,11:50,50,II,13,,,,,,,clases/semana-13
051,2026-12-03,jueves,13:40,50,II,13,,,,,,,clases/semana-13
052,2026-12-04,viernes,10:10,50,II,13,,,,,,,clases/semana-13
053,2026-12-10,jueves,11:50,50,II,14,,,,,,,clases/semana-14
054,2026-12-10,jueves,13:40,50,II,14,,,,,,,clases/semana-14
055,2026-12-11,viernes,10:10,50,II,14,,,,,,,clases/semana-14
056,2026-12-15,martes,11:50,50,II,15,,,,,,,clases/semana-15
057,2026-12-17,jueves,11:50,50,II,15,,,,,,,clases/semana-15
058,2026-12-17,jueves,13:40,50,II,15,,,,,,,clases/semana-15
059,2026-12-18,viernes,10:10,50,II,15,,,,,,,clases/semana-15
060,2027-01-12,martes,11:50,50,II,17,,,,,,,clases/semana-17
061,2027-01-14,jueves,11:50,50,II,17,,,,,,,clases/semana-17
062,2027-01-14,jueves,13:40,50,II,17,,,,,,,clases/semana-17
063,2027-01-15,viernes,10:10,50,II,17,,,,,,,clases/semana-17
064,2027-01-19,martes,11:50,50,II,18,,,,,,,clases/semana-18
065,2027-01-21,jueves,11:50,50,II,18,,,,,,,clases/semana-18
066,2027-01-21,jueves,13:40,50,II,18,,,,,,,clases/semana-18
067,2027-01-22,viernes,10:10,50,II,18,,,,,,,clases/semana-18
068,2027-01-26,martes,11:50,50,II,19,,,,,,,clases/semana-19
069,2027-01-28,jueves,11:50,50,II,19,,,,,,,clases/semana-19
070,2027-01-28,jueves,13:40,50,II,19,,,,,,,clases/semana-19
071,2027-01-29,viernes,10:10,50,II,19,,,,,,,clases/semana-19
072,2027-02-02,martes,11:50,50,II,20,,,,,,,clases/semana-20
073,2027-02-04,jueves,11:50,50,II,20,,,,,,,clases/semana-20
074,2027-02-04,jueves,13:40,50,II,20,,,,,,,clases/semana-20
075,2027-02-05,viernes,10:10,50,II,20,,,,,,,clases/semana-20
076,2027-02-09,martes,11:50,50,II,21,,,,,,,clases/semana-21
077,2027-02-11,jueves,11:50,50,II,21,,,,,,,clases/semana-21
078,2027-02-11,jueves,13:40,50,II,21,,,,,,,clases/semana-21
079,2027-02-12,viernes,10:10,50,II,21,,,,,,,clases/semana-21
080,2027-02-16,martes,11:50,50,II,22,,,,,,,clases/semana-22
081,2027-02-18,jueves,11:50,50,II,22,,,,,,,clases/semana-22
082,2027-02-18,jueves,13:40,50,II,22,,,,,,,clases/semana-22
083,2027-02-19,viernes,10:10,50,II,22,,,,,,,clases/semana-22
084,2027-02-23,martes,11:50,50,II,23,,,,,,,clases/semana-23
085,2027-02-25,jueves,11:50,50,II,23,,,,,,,clases/semana-23
086,2027-02-25,jueves,13:40,50,II,23,,,,,,,clases/semana-23
087,2027-02-26,viernes,10:10,50,II,23,,,,,,,clases/semana-23
088,2027-03-02,martes,11:50,50,II,24,,,,,,,clases/semana-24
089,2027-03-04,jueves,11:50,50,II,24,,,,,,,clases/semana-24
090,2027-03-04,jueves,13:40,50,II,24,,,,,,,clases/semana-24
091,2027-03-05,viernes,10:10,50,II,24,,,,,,,clases/semana-24
092,2027-03-09,martes,11:50,50,II,25,,,,,,,clases/semana-25
093,2027-03-11,jueves,11:50,50,II,25,,,,,,,clases/semana-25
094,2027-03-11,jueves,13:40,50,II,25,,,,,,,clases/semana-25
095,2027-03-12,viernes,10:10,50,II,25,,,,,,,clases/semana-25
096,2027-03-16,martes,11:50,50,II,26,,,,,,,clases/semana-26
097,2027-03-18,jueves,11:50,50,II,26,,,,,,,clases/semana-26
098,2027-03-18,jueves,13:40,50,II,26,,,,,,,clases/semana-26
099,2027-03-19,viernes,10:10,50,II,26,,,,,,,clases/semana-26
100,2027-03-30,martes,11:50,50,III,27,,,,,,,clases/semana-27
101,2027-04-01,jueves,11:50,50,III,27,,,,,,,clases/semana-27
102,2027-04-01,jueves,13:40,50,III,27,,,,,,,clases/semana-27
103,2027-04-02,viernes,10:10,50,III,27,,,,,,,clases/semana-27
104,2027-04-06,martes,11:50,50,III,28,,,,,,,clases/semana-28
105,2027-04-08,jueves,11:50,50,III,28,,,,,,,clases/semana-28
106,2027-04-08,jueves,13:40,50,III,28,,,,,,,clases/semana-28
107,2027-04-09,viernes,10:10,50,III,28,,,,,,,clases/semana-28
108,2027-04-13,martes,11:50,50,III,29,,,,,,,clases/semana-29
109,2027-04-15,jueves,11:50,50,III,29,,,,,,,clases/semana-29
110,2027-04-15,jueves,13:40,50,III,29,,,,,,,clases/semana-29
111,2027-04-16,viernes,10:10,50,III,29,,,,,,,clases/semana-29
112,2027-04-20,martes,11:50,50,III,30,,,,,,,clases/semana-30
113,2027-04-22,jueves,11:50,50,III,30,,,,,,,clases/semana-30
114,2027-04-22,jueves,13:40,50,III,30,,,,,,,clases/semana-30
115,2027-04-23,viernes,10:10,50,III,30,,,,,,,clases/semana-30
116,2027-04-27,martes,11:50,50,III,31,,,,,,,clases/semana-31
117,2027-04-29,jueves,11:50,50,III,31,,,,,,,clases/semana-31
118,2027-04-29,jueves,13:40,50,III,31,,,,,,,clases/semana-31
119,2027-04-30,viernes,10:10,50,III,31,,,,,,,clases/semana-31
120,2027-05-04,martes,11:50,50,III,32,,,,,,,clases/semana-32
121,2027-05-06,jueves,11:50,50,III,32,,,,,,,clases/semana-32
122,2027-05-06,jueves,13:40,50,III,32,,,,,,,clases/semana-32
123,2027-05-07,viernes,10:10,50,III,32,,,,,,,clases/semana-32
124,2027-05-11,martes,11:50,50,III,33,,,,,,,clases/semana-33
125,2027-05-13,jueves,11:50,50,III,33,,,,,,,clases/semana-33
126,2027-05-13,jueves,13:40,50,III,33,,,,,,,clases/semana-33
127,2027-05-14,viernes,10:10,50,III,33,,,,,,,clases/semana-33
128,2027-05-18,martes,11:50,50,III,34,,,,,,,clases/semana-34
129,2027-05-20,jueves,11:50,50,III,34,,,,,,,clases/semana-34
130,2027-05-20,jueves,13:40,50,III,34,,,,,,,clases/semana-34
131,2027-05-21,viernes,10:10,50,III,34,,,,,,,clases/semana-34
132,2027-05-25,martes,11:50,50,III,35,,,,,,,clases/semana-35
133,2027-05-27,jueves,11:50,50,III,35,,,,,,,clases/semana-35
134,2027-05-27,jueves,13:40,50,III,35,,,,,,,clases/semana-35
135,2027-05-28,viernes,10:10,50,III,35,,,,,,,clases/semana-35
136,2027-06-01,martes,11:50,50,III,36,,,,,,,clases/semana-36
137,2027-06-03,jueves,11:50,50,III,36,,,,,,,clases/semana-36
138,2027-06-03,jueves,13:40,50,III,36,,,,,,,clases/semana-36
139,2027-06-04,viernes,10:10,50,III,36,,,,,,,clases/semana-36
140,2027-06-08,martes,11:50,50,III,37,,,,,,,clases/semana-37
141,2027-06-10,jueves,11:50,50,III,37,,,,,,,clases/semana-37
142,2027-06-10,jueves,13:40,50,III,37,,,,,,,clases/semana-37
143,2027-06-11,viernes,10:10,50,III,37,,,,,,,clases/semana-37
